time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-01T22:42:54.000Z,60.023,-142.0779,35.1,2.7,ml,,,,1.03,ak,ak11432650,2014-11-02T06:45:25.406Z,"20km ESE of Cape Yakataga, Alaska",earthquake
2014-11-01T22:42:12.000Z,58.9761,-147.7759,34.5,3.6,ml,,,,0.49,ak,ak11432652,2014-11-02T06:44:44.400Z,"97km WSW of Middleton Island, Alaska",earthquake
2014-11-01T22:37:21.500Z,32.9293333,-115.526,12.83,1.79,ml,13,84,0.0403,0.27,ci,ci37284472,2014-11-01T22:41:26.700Z,"5km S of Brawley, California",earthquake
2014-11-01T22:16:54.360Z,38.8300018,-122.8096695,2.32,0.94,md,17,44,0.006605,0.04,nc,nc72336761,2014-11-01T23:57:09.444Z,"7km W of Cobb, California",earthquake
2014-11-01T22:13:13.040Z,-9.8198,159.685,10,5.4,mb,,27,0.458,0.97,us,usc000stet,2014-11-02T00:42:43.693Z,"51km SW of Honiara, Solomon Islands",earthquake
2014-11-01T21:52:39.470Z,34.1948333,-117.5588333,8.18,1.21,ml,26,62,0.05002,0.37,ci,ci37284456,2014-11-01T21:56:57.560Z,"9km ENE of San Antonio Heights, California",earthquake
2014-11-01T21:21:43.470Z,32.9473343,-115.5403366,14.51,3.37,ml,40,110,0.04884,0.33,ci,ci37284448,2014-11-02T03:33:03.609Z,"3km SSW of Brawley, California",earthquake
2014-11-01T21:14:36.150Z,38.8048325,-122.7979965,4.3,0.51,md,7,188,0.003772,0.01,nc,nc72336736,2014-11-01T22:59:08.115Z,"4km NW of The Geysers, California",earthquake
2014-11-01T21:05:31.300Z,33.9575,-117.4998333,5.02,1.45,ml,15,89,0.1094,0.51,ci,ci37284440,2014-11-01T21:10:28.260Z,"2km SW of Pedley, California",earthquake
2014-11-01T20:49:21.270Z,38.8089981,-122.8251648,2.75,0.43,md,13,114,0.003138,0.03,nc,nc72336731,2014-11-01T21:06:05.629Z,"6km WNW of The Geysers, California",earthquake
2014-11-01T20:48:08.360Z,33.5546667,-116.7948333,6.45,0.19,ml,12,164,0.04662,0.43,ci,ci37284432,2014-11-01T20:51:56.870Z,"11km W of Anza, California",earthquake
2014-11-01T20:32:24.100Z,46.3823,-119.6455,16.9,0.6,Md,,219.6,0.03593261,0.06,uw,uw60914861,2014-11-01T23:15:58.163Z,"17km NW of Benton City, Washington",earthquake
2014-11-01T20:31:10.700Z,46.38,-119.6455,18.8,1.7,Md,,72,0.03593261,0.13,uw,uw60914856,2014-11-01T23:14:21.979Z,"17km NW of Benton City, Washington",earthquake
2014-11-01T20:27:09.320Z,36.0913333,-117.8828333,1.1,1.16,ml,12,56,0.08364,0.16,ci,ci37284424,2014-11-01T20:30:56.900Z,"49km N of Inyokern, California",earthquake
2014-11-01T20:20:52.601Z,36.7196,-116.0591,8.9246,1.1,ml,22,87.24,0.039,0.1003,nn,nn00465889,2014-11-01T20:50:22.012Z,"57km N of Pahrump, Nevada",earthquake
2014-11-01T20:19:23.180Z,37.4716682,-118.7835007,6.97,0.89,md,8,186,0.05172,0.04,nc,nc72336721,2014-11-01T22:00:06.593Z,"25km SE of Mammoth Lakes, California",earthquake
2014-11-01T19:57:54.300Z,49.0623,-122.1862,11.1,2.3,Ml,,252,0.06288207,0.3,uw,uw60914841,2014-11-01T23:12:16.774Z,"4km E of Abbotsford, Canada",earthquake
2014-11-01T19:47:39.670Z,38.8181648,-122.8061676,3.48,0.51,md,12,78,0.006049,0.02,nc,nc72336711,2014-11-01T20:38:02.454Z,"6km NW of The Geysers, California",earthquake
2014-11-01T19:34:11.740Z,38.8105011,-122.8228302,2.55,1.1,md,15,64,0.005221,0.03,nc,nc72336706,2014-11-01T21:31:08.345Z,"6km WNW of The Geysers, California",earthquake
2014-11-01T19:24:34.520Z,38.7758331,-122.711998,0.8,0.3,md,8,97,0.004833,0.12,nc,nc72336696,2014-11-01T21:06:05.628Z,"3km E of The Geysers, California",earthquake
2014-11-01T19:20:45.600Z,38.8115005,-122.8248367,2.61,0.83,md,10,95,0.004291,0.03,nc,nc72336686,2014-11-01T19:53:02.553Z,"7km WNW of The Geysers, California",earthquake
2014-11-01T18:57:22.390Z,-19.698,-177.7936,434.41,7.1,mwc,,21,7.45,0.73,us,usc000stdc,2014-11-02T01:56:18.000Z,"141km NE of Ndoi Island, Fiji",earthquake
2014-11-01T18:54:01.780Z,38.1628342,-122.4570007,9.17,1.54,md,11,133,0.03781,0.08,nc,nc72336661,2014-11-01T20:27:06.295Z,"7km NE of Black Point-Green Point, California",earthquake
2014-11-01T18:53:44.690Z,38.8240013,-122.8458328,2.34,0.8,md,13,79,0.008485,0.01,nc,nc72336656,2014-11-01T20:07:09.096Z,"9km NW of The Geysers, California",earthquake
2014-11-01T18:53:10.640Z,38.1663322,-122.4543304,11.17,1.5,md,12,118,0.03478,0.05,nc,nc72336651,2014-11-01T19:28:04.884Z,"7km NE of Black Point-Green Point, California",earthquake
2014-11-01T18:45:27.200Z,47.7092,-123.0402,46.5,2.1,Ml,,75.6,0.04491576,0.14,uw,uw60914816,2014-11-01T19:22:21.111Z,"17km WNW of Seabeck, Washington",earthquake
2014-11-01T18:28:10.310Z,35.9843333,-117.5611667,1.1,0.68,ml,8,152,0.05862,0.2,ci,ci37284408,2014-11-01T18:31:58.590Z,"27km NNW of Searles Valley, California",earthquake
2014-11-01T18:19:51.000Z,-22.399,-68.57,109.9,4,ml,,,,0,us,usc000std2,2014-11-02T02:22:34.532Z,"38km ENE of Calama, Chile",earthquake
2014-11-01T18:18:29.880Z,37.9708328,-122.348999,6.03,2.45,md,63,35,0.03277,0.09,nc,nc72336646,2014-11-02T16:04:49.848Z,"1km NNW of San Pablo, California",earthquake
2014-11-01T18:10:56.000Z,62.3251,-151.0351,62.1,1.7,ml,,,,0.17,ak,ak11432612,2014-11-01T19:37:02.253Z,"47km W of Talkeetna, Alaska",earthquake
2014-11-01T18:07:07.000Z,64.2472,-148.9105,0,2.1,ml,,,,0.76,ak,ak11432609,2014-11-01T19:37:01.674Z,"38km SSE of North Nenana, Alaska",earthquake
2014-11-01T18:06:46.000Z,64.2589,-148.9319,15.5,1.9,ml,,,,0.62,ak,ak11432607,2014-11-01T19:36:58.969Z,"36km SSE of North Nenana, Alaska",earthquake
2014-11-01T17:57:08.000Z,62.8673,-151.0689,91.6,1.9,ml,,,,0.63,ak,ak11432605,2014-11-01T19:36:58.401Z,"78km NW of Talkeetna, Alaska",earthquake
2014-11-01T17:53:17.000Z,19.0119,-67.2545,16,2.9,Md,11,306,0.55695548,0.15,pr,pr14305006,2014-11-02T01:55:44.456Z,"59km NNW of San Antonio, Puerto Rico",earthquake
2014-11-01T17:44:50.600Z,19.4403,-155.3247,7.5,1.7,Md,,147.6,0.03593261,0.2,hv,hv60797036,2014-11-01T17:48:05.399Z,"9km W of Volcano, Hawaii",earthquake
